# Gaps of the 'core' block that are no longer gaps, keyed to the same
# revision as the verdicts.
# 'killed' means a mutation taken from this sweep's output now fails a test.
# 'equivalent' means the mutation is real and the program is the same either way.
# 'superseded' means the line the verdict belongs to was replaced by a fix.
# file	line	operator	state	round	why
DNS/DNSNamePattern.cs	40	true-to-false	killed	pattern	
DNS/DNSServiceInstanceName.cs	43	true-to-false	killed	instancename	
DNS/DNSServiceName.cs	43	true-to-false	killed	names	
DNS/DomainName.cs	41	true-to-false	killed	names	
DNS/Helpers/DNSTools.cs	33	true-to-false	killed	dnstools	
DNS/IDomainName.cs	40	true-to-false	killed	names	
DNS/Helpers/DNSTools.cs	33	false-to-true	equivalent		the first argument of UTF8Encoding decides what GetPreamble() returns, and this encoding is only ever asked for GetString. The same pair as DNSServiceName.cs:181, and the same half of it matters: the second argument is what refuses a label whose octets are not UTF-8, and a test now pins that
DNS/DNSNamePattern.cs	47	false-to-true	killed	pattern	
DNS/DNSServiceInstanceName.cs	50	false-to-true	killed	instancename	
DNS/DNSServiceName.cs	50	false-to-true	killed	names	
DNS/DNSZoneFile.cs	123	false-to-true	killed	zonefile	
DNS/DomainName.cs	48	false-to-true	killed	names	
DNS/Helpers/DNSTools.cs	96	less-to-less-or-equal	equivalent		FindLastRecordOffset refusing a message shorter than RFC 1035 §4.1.1's twelve-octet header. At exactly twelve both readings answer the same: with every count zero the walk ends where it started and returns -1, and with a count the message cannot keep the walk runs off the end, which both callers catch. TSIGSigner and SIG0Signer each check the length themselves before calling, so no caller can reach a difference
DNS/IDomainName.cs	47	false-to-true	killed	names	
DNS/DNSZoneFile.cs	129	false-to-true	killed	zonefile	
DNS/DomainName.cs	133	greater-to-ge	killed	names	
DNS/Helpers/DNSTools.cs	151	less-to-less-or-equal	equivalent		the loop that reads an exact number of octets. At total == buffer.Length the mutant asks for one more read of zero octets, which returns zero and breaks out of the loop on the next line — the same octets, one wasted call
DNS/DNSPacket.cs	260	true-to-false	killed	question	
DNS/DNSZoneFile.cs	181	false-to-true	killed	zonefile	
DNS/DomainName.cs	158	ge-to-greater	killed	names	
DNS/Helpers/DNSPadding.cs	152	greater-to-ge	equivalent		RFC 7830 §4's cap, at the length where the padded message lands exactly on it. Both readings answer the same there: if MeasuredLength + octets equals MaxLength then MaxLength - MeasuredLength is octets, so the branch the mutant takes recomputes the number the original kept. The boundary is exercised — Block_Length_Arithmetic_A_Ceiling_On_The_Boundary_Does_Not_Bite pads 85 octets to 468 against a ceiling of 468 — and it still cannot tell them apart
DNS/DNSInfo.cs	319	equality-to-inequality	equivalent		the QR bit is read into a local that nothing reads back — it appears twice in the file, one of them in the licence header — so both readings assign a value nobody observes. Not checking it is conformant besides: RFC 5452 §9.1 enumerates what a resolver MUST match a response against, and the six are the addresses, the port, the ID, the name, the class and the type. QR is not among them
DNS/DNSNamePattern.cs	218	false-to-true	killed	pattern	
DNS/DNSQuestion.cs	190	equality-to-inequality	killed	question	
DNS/DNSServiceInstanceName.cs	175	false-to-true	killed	instancename	
DNS/DNSZoneFile.cs	215	greater-to-ge	killed	zonefile	
DNS/DomainName.cs	167	ge-to-greater	killed	names	
DNS/Helpers/DNSTools.cs	224	ge-to-greater	killed	dnstools	
DNS/DNSInfo.cs	321	equality-to-inequality	killed	dnsinfo	
DNS/DNSNamePattern.cs	231	equality-to-inequality	killed	pattern	
DNS/DNSQuestion.cs	193	equality-to-inequality	killed	question	
DNS/DNSServiceInstanceName.cs	179	true-to-false	killed	instancename	
DNS/DNSServiceName.cs	181	true-to-false	killed	names	
DNS/DNSZoneFile.cs	229	false-to-true	killed	zonefile	
DNS/DNSNamePattern.cs	234	false-to-true	killed	pattern	
