# Gaps of the 'server' block that are no longer gaps, keyed to the same
# revision as the verdicts.
# 'killed' means a mutation taken from this sweep's output now fails a test.
# 'equivalent' means the mutation is real and the program is the same either way.
# 'superseded' means the line the verdict belongs to was replaced by a fix.
# file	line	operator	state	round	why
DNS/Server/DNSMessagePipeline.cs	150	less-to-less-or-equal	killed	sizes-and-edges	
DNS/Server/AuthoritativeDNSRequestHandler.cs	188	false-to-true	equivalent		the return false of HasValidServerCookie when no cookie secret is set. Its one caller opens with DNSCookieSecret is not null, so the method never runs in the state this line answers for
DNS/Server/AuthoritativeDNSRequestHandler.cs	237	logical-or-to-and	equivalent		the CNAME-and-ANY guard of FollowCanonicalNames, which is called only where the store answered NoData - and a node holding a CNAME answers Found to a query for CNAME or for ANY. The guard is right, says why in its own comment, and cannot be reached
DNS/Server/ZoneDenialOfExistence.cs	306	greater-to-ge	equivalent		above = CompareCanonical(Name, owner) > 0, where Name is a name the zone does not hold and owner is one it does
DNS/Server/DNSMessagePipeline.cs	349	logical-or-to-and	equivalent		!TryStripTSIG(...) || unsigned is null - the second term cannot be true when the first is false
DNS/Server/ZoneDenialOfExistence.cs	307	less-to-less-or-equal	equivalent		below = CompareCanonical(Name, next) < 0 - next is the next existing name, so the same argument
DNS/Server/DNSMessagePipeline.cs	350	logical-or-to-and	equivalent		unsigned is null || tsig is null, the same chain one term along
DNS/Server/ZoneDenialOfExistence.cs	311	ge-to-greater	killed	apex-only-zone	
DNS/Server/DNSMessagePipeline.cs	418	logical-or-to-and	equivalent		!TryStripSIG0(...) || unsigned is null - the same, for the other kind
DNS/Server/InMemoryDNSZone.cs	489	logical-or-to-and	equivalent		signingKeys is null || !SignaturesExpireAt.HasValue. The two are assigned once each, six lines apart in Sign and with no path between them that can fail, so they are null together and set together - and where the two operands always agree, or and and cannot
DNS/Server/ZoneDenialOfExistence.cs	333	logical-or-to-and	equivalent		Name is null || nsec3Parameters is null in MatchingNSEC3. Its three callers pass a name they have already checked, and with no parameters HashOf returns null on the next line anyway
DNS/Server/ZoneDenialOfExistence.cs	352	logical-or-to-and	equivalent		the same guard in CoveringNSEC3. Name can be null here - NextCloser returns null when QNAME is the encloser - but HashOf answers null for that too
DNS/Server/ZoneDenialOfExistence.cs	369	greater-to-ge	equivalent		the NSEC3 twin of 306, over hashes
DNS/Server/DNSMessagePipeline.cs	471	less-to-less-or-equal	equivalent		the twelve-octet floor of BuildNotAuthorizedResponse. It answers a request whose signature did not verify, so the request carried a TSIG or a SIG(0) and is an order of magnitude longer than the header it is measured against
DNS/Server/ZoneDenialOfExistence.cs	370	less-to-less-or-equal	equivalent		the NSEC3 twin of 307
DNS/Server/ZoneDenialOfExistence.cs	371	ge-to-greater	equivalent		the NSEC3 wrap, and NOT for the reason its NSEC twin at 311 dies. The two readings differ only when owner and next are the same hash, which needs a chain of one record - and every NSEC3 proof that asks for a covering record has already asked for a matching one, which in such a zone is that same record. Collect drops the duplicate, so the response is identical whichever way the comparison reads. The NSEC branch has no matching call to fall back on, which is why the same mutation is a gap there and not here
DNS/Server/DNSMessagePipeline.cs	594	le-to-less	killed	sizes-and-edges	
DNS/Server/DNSMessagePipeline.cs	602	ge-to-greater	killed	sizes-and-edges	
DNS/Server/DNSMessagePipeline.cs	623	le-to-less	killed	sizes-and-edges	
DNS/Server/ZoneDenialOfExistence.cs	424	logical-or-to-and	equivalent		label is null || label.Length == 0 in OwnerHashOf. Split always yields at least one element, so FirstOrDefault over it is never null and only the length test can fire
DNS/Server/InMemoryDNSZone.cs	672	logical-and-to-or	killed	signed-answers-and-the-apex	
DNS/Server/InMemoryDNSZone.cs	684	logical-and-to-or	killed	signed-answers-and-the-apex	
DNS/Server/ZoneDenialOfExistence.cs	443	less-to-less-or-equal	killed	apex-only-zone	
DNS/Server/InMemoryDNSZone.cs	718	logical-and-to-or	killed	signed-answers-and-the-apex	
DNS/Server/ZoneDenialOfExistence.cs	445	less-to-less-or-equal	equivalent		Left[i] < Right[i] ? -1 : 1, under an if that has already established Left[i] != Right[i]. Less-than and less-or-equal cannot disagree where equality is excluded
DNS/Server/ZoneDenialOfExistence.cs	466	ge-to-greater	equivalent		the bound of ClosestEncloser's walk. Stopping one candidate short loses exactly the apex, and the return below the loop is the apex
DNS/Server/InMemoryDNSZone.cs	754	true-to-false	killed	signed-answers-and-the-apex	
DNS/Server/ZoneDenialOfExistence.cs	528	le-to-less	equivalent		qnameLabels.Length <= encloserLabels.Length in NextCloser. The closest provable encloser is an ancestor of QNAME and never QNAME itself, because a name with a matching NSEC3 is a name that exists
DNS/Server/ZoneDenialOfExistence.cs	565	ge-to-greater	equivalent		Skip >= Labels.Length ? "." : String.Join('.', Labels.Skip(Skip)) + ".". At equality the other branch joins nothing and appends the dot, which is the same dot the first branch returns
DNS/Server/ZoneDenialOfExistence.cs	597	equality-to-inequality	killed	apex-only-zone	
DNS/Server/InMemoryDNSZone.cs	894	greater-to-ge	equivalent		return Records.Length > 0 in TryGetRecords. Add never creates an empty list, and Remove drops the key as soon as its list empties, so a TryGetValue that succeeded has found records
DNS/Server/InMemoryDNSZone.cs	984	ge-to-greater	killed	signed-answers-and-the-apex	
