# Every mutant that survived every project, classified against Hermod 973fed31 —
# the revision the sweep measured. Line numbers move; this file does not.
# file	line	operator	kind	source
DNS/ResourceRecords/A.cs	209	inequality-to-equality	branch	if (RData.Length != 4)
DNS/ResourceRecords/A.cs	234	inequality-to-equality	branch	if (read != 4)
DNS/ResourceRecords/A.cs	272	true-to-false	noise-region	#region (protected override) SerializeRRData(Stream, UseCompression = true, CompressionOffsets = null)
DNS/ResourceRecords/A.cs	281	true-to-false	noise-default	Boolean                     UseCompression       = true,
DNS/ResourceRecords/AAAA.cs	208	inequality-to-equality	branch	if (RData.Length != 16)
DNS/ResourceRecords/AAAA.cs	233	inequality-to-equality	branch	if (read != 16)
DNS/ResourceRecords/AAAA.cs	281	true-to-false	noise-region	#region (protected override) SerializeRRData(Stream, UseCompression = true, CompressionOffsets = null)
DNS/ResourceRecords/AAAA.cs	290	true-to-false	noise-default	Boolean                     UseCompression       = true,
DNS/ResourceRecords/ADNSResourceRecord.cs	211	true-to-false	noise-attribute	[NotNullWhen(true)] out IDNSResourceRecord?  ResourceRecord,
DNS/ResourceRecords/ADNSResourceRecord.cs	244	false-to-true	rejection	return false;
DNS/ResourceRecords/ADNSResourceRecord.cs	344	less-to-less-or-equal	boundary	if (parts.Length < 6)
DNS/ResourceRecords/ADNSResourceRecord.cs	388	less-to-less-or-equal	boundary	if (parts.Length < 6)
DNS/ResourceRecords/ADNSResourceRecord.cs	425	false-to-true	branch	var isEscaped   = false;
DNS/ResourceRecords/ADNSResourceRecord.cs	433	false-to-true	branch	isEscaped = false;
DNS/ResourceRecords/ADNSResourceRecord.cs	440	true-to-false	branch	isEscaped = true;
DNS/ResourceRecords/ADNSResourceRecord.cs	504	true-to-false	noise-attribute	[NotNullWhen(true)] out Byte[]?   Bytes)
DNS/ResourceRecords/ADNSResourceRecord.cs	515	false-to-true	rejection	return false;
DNS/ResourceRecords/ADNSResourceRecord.cs	567	false-to-true	branch	ResourceRecord.Serialize(wire, UseCompression: false);
DNS/ResourceRecords/ADNSResourceRecord.cs	572	less-to-less-or-equal	boundary	while (offset < bytes.Length && bytes[offset] != 0)
DNS/ResourceRecords/ADNSResourceRecord.cs	617	greater-to-ge	boundary	if (RData.Length > UInt16.MaxValue)
DNS/ResourceRecords/ADNSResourceRecord.cs	622	false-to-true	branch	DNSServiceName.Serialize(wire, 0, UseCompression: false, Offsets: []);
DNS/ResourceRecords/ADNSResourceRecord.cs	656	true-to-false	branch	if (Enum.TryParse(Text, true, out Class) &&
DNS/ResourceRecords/ADNSResourceRecord.cs	690	logical-and-to-or	branch	if (Enum.TryParse (Text, true, out Type) &&
