# Gaps of the 'tsig' block that are no longer gaps, keyed to the same
# revision as the verdicts.
# 'killed' means a mutation taken from this sweep's output now fails a test.
# 'equivalent' means the mutation is real and the program is the same either way.
# 'superseded' means the line the verdict belongs to was replaced by a fix.
# file	line	operator	state	round	why
DNS/TSIG/SIG0Signer.cs	148	less-to-less-or-equal	killed	stripping	
DNS/TSIG/TSIGSigner.cs	103	less-to-less-or-equal	killed	stripping	
DNS/TSIG/TSIGAlgorithms.cs	86	logical-or-to-and	killed	windows	
DNS/TSIG/SIG0Signer.cs	283	logical-and-to-or	killed	stripping	
DNS/TSIG/TSIGSigner.cs	177	greater-to-ge	equivalent		now > tsig.TimeSigned, choosing which way round to subtract for the skew. At equality both readings give zero, because that is the one value where the two subtractions agree — and away from equality the condition already decides the same way
DNS/TSIG/TSIGSigner.cs	181	greater-to-ge	killed	windows	
DNS/TSIG/SIG0Signer.cs	398	less-to-less-or-equal	killed	windows	
DNS/TSIG/TSIGSigner.cs	337	greater-to-ge	killed	windows	
DNS/TSIG/SIG0Signer.cs	398	greater-to-ge	killed	windows	
DNS/TSIG/TSIGSigner.cs	396	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	434	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	439	false-to-true	killed	stripping	
DNS/TSIG/TSIGSigner.cs	412	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	447	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	456	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	475	false-to-true	killed	stripping	
DNS/TSIG/SIG0Signer.cs	527	greater-to-ge	equivalent		Request.Length > 0 before folding the request into the signed data. SIG(0) writes the request's octets and nothing else, so an empty request writes nothing under either reading. TSIGSigner's counterpart at line 337 looks identical and is not: it writes a two-octet length first, so an empty MAC puts 00 00 into the digest that a peer would not have. The same guard, one of them load-bearing and one not — which is why 337 was killed by a test and this was predicted to be and was not
